Total,1,2,3,4,5,6,7,8,9,10
1,1.07,0.9275,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.9875,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,1.0075,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,1.0175,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,1.07,1.0375,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,1.0575,0.05,1.0225,1.04,1.0325,1.0375,1.03,0.245,1.035
1,1.07,1.0575,0.05,1.0425,0.54,1.0325,1.0375,1.03,1.06,1.035
1,1.07,1.0575,0.05,1.0425,1.04,0.0325,1.0375,1.03,1.06,1.035
1,1.07,1.0575,0.05,1.0425,1.04,0.3425,1.0375,1.03,1.06,1.035
5,1.07,1.0575,0.05,1.0425,1.04,1.0325,0.0375,1.03,1.06,1.035
1,1.07,1.0575,0.05,1.0425,1.04,1.0325,0.2075,1.03,1.06,1.035
1,1.07,1.0575,0.05,1.0425,1.04,1.0325,0.5275,1.03,1.06,1.035
1,1.07,1.0575,0.05,1.0425,1.04,1.0325,0.9675,1.03,1.06,1.035
1,1.07,1.0575,0.05,1.0425,1.04,1.0325,1.0375,0.43,1.06,1.035
3,1.07,1.0575,0.05,1.0425,1.04,1.0325,1.0375,1.03,0.06,1.035
1,1.07,1.0575,0.05,1.0425,1.04,1.0325,1.0375,1.03,0.54,1.035
3,1.07,1.0575,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,0.035
107,1.07,1.0575,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,1.0575,0.06,1.0425,1.04,1.0325,1.0375,1.03,1.06,0.585
4,1.07,1.0575,0.12,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,1.07,1.0575,0.13,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,1.0575,0.15,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
